{'epoch': 64, 'trainloss': 0.1279, 'testloss': 0.5395, 'trainiou': 0.9365, 'testiou': 0.8056, 'trainbiou': 0.8567, 'testbiou': 0.7008, 'trainscore': 0.8966, 'testscore': 0.7532}
{'epoch': 65, 'trainloss': 0.1311, 'testloss': 0.5944, 'trainiou': 0.9369, 'testiou': 0.7865, 'trainbiou': 0.8569, 'testbiou': 0.6743, 'trainscore': 0.8969, 'testscore': 0.7304}
{'epoch': 66, 'trainloss': 0.122, 'testloss': 0.5245, 'trainiou': 0.941, 'testiou': 0.8111, 'trainbiou': 0.8652, 'testbiou': 0.7033, 'trainscore': 0.9031, 'testscore': 0.7572}
{'epoch': 67, 'trainloss': 0.1216, 'testloss': 0.5096, 'trainiou': 0.9402, 'testiou': 0.8104, 'trainbiou': 0.864, 'testbiou': 0.6989, 'trainscore': 0.9021, 'testscore': 0.7546}
{'epoch': 68, 'trainloss': 0.1191, 'testloss': 0.5169, 'trainiou': 0.9406, 'testiou': 0.8048, 'trainbiou': 0.8649, 'testbiou': 0.689, 'trainscore': 0.9027, 'testscore': 0.7469}
{'epoch': 69, 'trainloss': 0.1323, 'testloss': 0.4688, 'trainiou': 0.9379, 'testiou': 0.8286, 'trainbiou': 0.8587, 'testbiou': 0.7229, 'trainscore': 0.8983, 'testscore': 0.7757}
{'epoch': 70, 'trainloss': 0.2578, 'testloss': 0.4982, 'trainiou': 0.8999, 'testiou': 0.7912, 'trainbiou': 0.7611, 'testbiou': 0.6758, 'trainscore': 0.8305, 'testscore': 0.7335}
{'epoch': 71, 'trainloss': 0.149, 'testloss': 0.5042, 'trainiou': 0.9335, 'testiou': 0.8052, 'trainbiou': 0.8463, 'testbiou': 0.692, 'trainscore': 0.8899, 'testscore': 0.7486}
{'epoch': 72, 'trainloss': 0.1497, 'testloss': 0.6153, 'trainiou': 0.9302, 'testiou': 0.7655, 'trainbiou': 0.8439, 'testbiou': 0.6522, 'trainscore': 0.8871, 'testscore': 0.7089}
{'epoch': 73, 'trainloss': 0.1257, 'testloss': 0.5338, 'trainiou': 0.9384, 'testiou': 0.8027, 'trainbiou': 0.8605, 'testbiou': 0.6929, 'trainscore': 0.8994, 'testscore': 0.7478}
{'epoch': 74, 'trainloss': 0.1229, 'testloss': 0.5837, 'trainiou': 0.9394, 'testiou': 0.7722, 'trainbiou': 0.8619, 'testbiou': 0.655, 'trainscore': 0.9007, 'testscore': 0.7136}
{'epoch': 75, 'trainloss': 0.1161, 'testloss': 0.6949, 'trainiou': 0.9415, 'testiou': 0.7645, 'trainbiou': 0.867, 'testbiou': 0.6427, 'trainscore': 0.9042, 'testscore': 0.7036}
{'epoch': 76, 'trainloss': 0.1446, 'testloss': 0.6181, 'trainiou': 0.9329, 'testiou': 0.7831, 'trainbiou': 0.849, 'testbiou': 0.6707, 'trainscore': 0.891, 'testscore': 0.7269}
{'epoch': 77, 'trainloss': 0.1333, 'testloss': 0.521, 'trainiou': 0.9373, 'testiou': 0.7999, 'trainbiou': 0.8575, 'testbiou': 0.6853, 'trainscore': 0.8974, 'testscore': 0.7426}
{'epoch': 78, 'trainloss': 0.1269, 'testloss': 0.5009, 'trainiou': 0.9388, 'testiou': 0.8133, 'trainbiou': 0.8619, 'testbiou': 0.7036, 'trainscore': 0.9004, 'testscore': 0.7584}
{'epoch': 79, 'trainloss': 0.1253, 'testloss': 0.51, 'trainiou': 0.9382, 'testiou': 0.8056, 'trainbiou': 0.8595, 'testbiou': 0.691, 'trainscore': 0.8988, 'testscore': 0.7483}
{'epoch': 80, 'trainloss': 0.1159, 'testloss': 0.3953, 'trainiou': 0.9413, 'testiou': 0.8428, 'trainbiou': 0.8666, 'testbiou': 0.7316, 'trainscore': 0.9039, 'testscore': 0.7872}
{'epoch': 81, 'trainloss': 0.1178, 'testloss': 0.4914, 'trainiou': 0.9411, 'testiou': 0.8165, 'trainbiou': 0.8662, 'testbiou': 0.7055, 'trainscore': 0.9037, 'testscore': 0.761}
{'epoch': 82, 'trainloss': 0.1119, 'testloss': 0.4486, 'trainiou': 0.9436, 'testiou': 0.8312, 'trainbiou': 0.8712, 'testbiou': 0.7256, 'trainscore': 0.9074, 'testscore': 0.7784}
{'epoch': 83, 'trainloss': 0.1369, 'testloss': 0.5156, 'trainiou': 0.9332, 'testiou': 0.8065, 'trainbiou': 0.8496, 'testbiou': 0.6968, 'trainscore': 0.8914, 'testscore': 0.7516}
{'epoch': 84, 'trainloss': 0.1219, 'testloss': 0.4729, 'trainiou': 0.9415, 'testiou': 0.8237, 'trainbiou': 0.8661, 'testbiou': 0.7176, 'trainscore': 0.9038, 'testscore': 0.7706}
{'epoch': 85, 'trainloss': 0.1228, 'testloss': 0.5588, 'trainiou': 0.94, 'testiou': 0.7904, 'trainbiou': 0.864, 'testbiou': 0.6815, 'trainscore': 0.902, 'testscore': 0.736}
{'epoch': 86, 'trainloss': 0.121, 'testloss': 0.6027, 'trainiou': 0.941, 'testiou': 0.7928, 'trainbiou': 0.8652, 'testbiou': 0.687, 'trainscore': 0.9031, 'testscore': 0.7399}
{'epoch': 87, 'trainloss': 0.1136, 'testloss': 0.556, 'trainiou': 0.9431, 'testiou': 0.8002, 'trainbiou': 0.8701, 'testbiou': 0.6908, 'trainscore': 0.9066, 'testscore': 0.7455}
{'epoch': 88, 'trainloss': 0.1323, 'testloss': 0.4585, 'trainiou': 0.9388, 'testiou': 0.8271, 'trainbiou': 0.86, 'testbiou': 0.7215, 'trainscore': 0.8994, 'testscore': 0.7743}
{'epoch': 89, 'trainloss': 0.1142, 'testloss': 0.574, 'trainiou': 0.9444, 'testiou': 0.7919, 'trainbiou': 0.8724, 'testbiou': 0.6829, 'trainscore': 0.9084, 'testscore': 0.7374}
{'epoch': 90, 'trainloss': 0.1132, 'testloss': 0.5341, 'trainiou': 0.9432, 'testiou': 0.8115, 'trainbiou': 0.8704, 'testbiou': 0.7051, 'trainscore': 0.9068, 'testscore': 0.7583}
{'epoch': 91, 'trainloss': 0.1131, 'testloss': 0.5321, 'trainiou': 0.9431, 'testiou': 0.8112, 'trainbiou': 0.8698, 'testbiou': 0.7036, 'trainscore': 0.9064, 'testscore': 0.7574}
{'epoch': 92, 'trainloss': 0.1089, 'testloss': 0.468, 'trainiou': 0.9451, 'testiou': 0.8185, 'trainbiou': 0.8741, 'testbiou': 0.7095, 'trainscore': 0.9096, 'testscore': 0.764}
